Profession,Num
Insurance Sales Agents,6
Dietitians and Nutritionists,6
"Health and Safety Engineers, Except Mining Safety",6
Chefs and Head Cooks,6
Personal Financial Advisors,6
Food Scientists and Technologists,7
Health Educators,7
Fundraisers,7
Biomedical Engineers,7
Political Scientists,7
Soil and Plant Scientists,7
"Sales Representatives, Services, All Other",8
Materials Engineers,8
"Property, Real Estate, and Community Association M",8
"Directors, Religious Activities and Education",8
Marine Engineers and Naval Architects,8
"Education Administrators, Elementary and Secondary",8
Advertising Sales Agents,8
Biological Technicians,8
"Mining and Geological Engineers, Including Mining",9
Lodging Managers,9
Executive Secretaries and Executive Administrative,9
Environmental Engineers,9
Animal Scientists,9
"Philosophy and Religion Teachers, Postsecondary",9
Registered Nurses,10
Computer User Support Specialists,10
Paralegals and Legal Assistants,11
"Health Specialties Teachers, Postsecondary",11
Chemists,11
Budget Analysts,11
"Transportation, Storage, and Distribution Managers",11
"Elementary School Teachers, Except Special Educati",11
Medical and Health Services Managers,12
"Secondary School Teachers, Except Special and Care",12
Social and Community Service Managers,12
Credit Analysts,12
"Teachers and Instructors, All Other",12
Music Directors and Composers,12
Compliance Officers,13
"Education Teachers, Postsecondary",13
Statisticians,13
Physical Therapists,13
Clergy,13
"Biological Scientists, All Other",14
Cost Estimators,14
Architectural and Civil Drafters,14
Biochemists and Biophysicists,14
Petroleum Engineers,14
"Designers, All Other",15
"Sales Representatives, Wholesale and Manufacturing",15
Administrative Services Managers,15
Information Security Analysts,15
Curators,15
Natural Sciences Managers,16
"Agents and Business Managers of Artists, Performer",16
Technical Writers,17
Reporters and Correspondents,17
Industrial Production Managers,18
Computer and Information Research Scientists,18
Training and Development Managers,18
Chemical Engineers,18
Aerospace Engineers,18
Instructional Coordinators,19
"Geoscientists, Except Hydrologists and Geographers",19
Food Service Managers,20
Film and Video Editors,21
Web Developers,24
"Engineers, All Other",25
Industrial Engineers,26
Civil Engineers,27
"Meeting, Convention, and Event Planners",28
Purchasing Managers,28
Coaches and Scouts,29
"Physicians and Surgeons, All Other",29
Veterinarians,30
Computer Network Architects,30
Logisticians,31
Training and Development Specialists,31
"Financial Specialists, All Other",33
Construction Managers,33
Database Administrators,33
Public Relations and Fundraising Managers,34
"Architects, Except Landscape and Naval",35
Electrical Engineers,36
Commercial and Industrial Designers,36
Fashion Designers,36
"Securities, Commodities, and Financial Services Sa",38
Writers and Authors,39
Multimedia Artists and Animators,40
Interior Designers,41
Editors,41
Human Resources Managers,43
Economists,44
"Medical Scientists, Except Epidemiologists",46
Sales Engineers,46
"Electronics Engineers, Except Computer",48
"Media and Communication Workers, All Other",49
Network and Computer Systems Administrators,49
Human Resources Specialists,58
Operations Research Analysts,64
"Managers, All Other",68
Producers and Directors,70
Mechanical Engineers,77
"Business Operations Specialists, All Other",83
Art Directors,84
Lawyers,99
Sales Managers,108
Chief Executives,112
Advertising and Promotions Managers,114
Graphic Designers,122
Architectural and Engineering Managers,124
Public Relations Specialists,129
"Software Developers, Systems Software",139
Computer Programmers,146
Financial Managers,162
"Computer Occupations, All Other",179
Accountants and Auditors,198
Computer and Information Systems Managers,200
Management Analysts,203
General and Operations Managers,278
Financial Analysts,279
Marketing Managers,284
Market Research Analysts and Marketing Specialists,329
Computer Systems Analysts,471
"Software Developers, Applications",676
